HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Man United,Everton,42,24,37,41,390,304,142,108,316,296,130,129,61,64,2,1,1.5,4.33,6.5,28,29,53,27
Aston Villa,Nottingham,39,24,40,52,330,295,121,91,331,331,119,97,56,66,1,0,1.6,4.2,5.25,29,29,44,27
Brentford,Newcastle,46,47,38,20,298,403,120,143,270,280,124,193,40,49,0,2,3.5,3.4,2.1,29,28,43,53
Fulham,West Ham,39,26,39,39,319,356,112,99,302,274,126,155,68,35,1,0,2.75,3.25,2.62,28,28,39,27
Wolves,Chelsea,23,29,42,30,327,367,98,121,339,313,137,167,62,58,6,3,4.1,3.5,1.9,29,29,28,39
Tottenham,Brighton,53,51,41,34,400,412,151,165,328,286,159,171,58,36,3,0,2.6,3.6,2.6,29,27,50,46
Leicester,Bournemouth,40,27,51,57,312,253,109,96,310,299,103,108,45,51,2,0,1.9,3.75,4,29,29,25,27
Southampton,Man City,23,71,47,26,335,461,109,163,345,260,124,184,54,34,0,1,11,6,1.25,29,28,23,64
Leeds,Crystal Palace,38,24,49,40,356,308,113,99,357,351,159,129,61,67,2,3,2.1,3.4,3.6,29,29,29,30
Liverpool,Arsenal,48,70,35,27,435,475,159,157,280,276,173,177,39,40,1,0,2.8,3.6,2.37,28,29,43,72
