HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Aston Villa,Newcastle,41,49,40,21,338,413,124,147,336,305,120,198,59,51,1,2,3.6,3.4,2.05,30,29,47,56
Southampton,Crystal Palace,24,29,51,41,339,324,110,107,351,357,124,133,54,68,0,3,2.8,3.1,2.7,30,30,23,33
Everton,Fulham,24,39,43,40,319,335,109,115,306,313,133,137,64,69,1,1,2.05,3.4,3.7,30,29,27,39
Tottenham,Bournemouth,55,28,42,57,409,272,154,103,345,312,162,114,61,54,3,0,1.45,4.5,7,30,30,53,30
Wolves,Brentford,24,47,42,40,336,310,102,126,354,279,145,130,64,40,6,1,2.5,3.1,3,30,30,31,43
Chelsea,Brighton,29,52,31,36,380,429,122,169,324,300,175,178,63,37,3,0,2.62,3.4,2.62,30,28,29,46
Man City,Leicester,75,40,27,52,474,326,171,113,270,321,194,109,36,45,1,2,1.16,8.5,13,29,30,67,25
West Ham,Arsenal,27,72,39,29,365,484,104,162,287,288,159,181,36,44,0,0,6,4.2,1.55,29,30,30,73
Nottingham,Man United,24,44,54,37,301,419,93,153,348,328,105,140,70,61,0,2,5.5,4,1.61,30,29,27,56
Leeds,Liverpool,39,50,54,37,367,456,120,165,366,293,161,178,64,43,2,1,4.2,4.2,1.72,30,29,29,44
